wine,winery,category,designation,varietal,appellation,alcohol,price,rating,reviewer,review
Foley 2014 Barrel Select Pinot Noir (Sta. Rita Hills),Foley,Red,Barrel Select,Pinot Noir,"Sta. Rita Hills, Central Coast, California, US",14.3%,$60,92,Matt Kettmann,"This well-balanced Pinot Noir shows red-cherry fruit, with complex hints of anise, star anise, thyme and even tarragon on the nose. Both the acidity and tannic structure are lively but not aggressive, carrying tart cherry flavors deep into the finish."
Château Darzac 2006 Réserve  (Bordeaux),Château Darzac,Red,Réserve,Bordeaux-style Red Blend,"Bordeaux, Bordeaux, France",13%,$15,83,Roger Voss,"Lean, initially bitter, this is a firmly tannic wine. The berry fruits show freshness, but the dry tannins dominate. Of course, it's young, but the texture is too light for much development."
Alta Cima 2007 Reserve Merlot (Lontué Valley),Alta Cima,Red,Reserve,Merlot,"Lontué Valley, Chile",13.5%,$13,80,Michael Schachner,"Acceptable aromas but all acid in the mouth. A sour, bitter, red fruit dominant wine with very little going for it. Offers nothing but sourness on the palate and finish."
Obelisco Estate 2010 Estate Grown Merlot (Red Mountain),Obelisco Estate,Red,Estate Grown,Merlot,"Red Mountain, Columbia Valley, Washington, US",13.9%,$45,91,Paul Gregutt,"This soft, supple and seductive Merlot (with 25% Cabernet Sauvignon in the blend) is both earthy and sensuous. The mouthfeel is like smooth felt. Black cherry, blackberry and a dash of cola fill the mouth, with lush tannins and a long finish. There's just a hint of brown sugar as it wraps up."
Pleil 2013 Klassik Grüner Veltliner (Weinviertel),Pleil,White,Klassik,Grüner Veltliner,"Weinviertel, Austria",12.5%,,86,Anne Krebiehl MW,"Spritzy freshness, lemony hints and a slender body combine to make an uncomplicated but rewarding summer wine."
Tenute Niccolai 2009 Bellarina  (Brunello di Montalcino),Tenute Niccolai,Red,Bellarina,Sangiovese,"Brunello di Montalcino, Tuscany, Italy",15%,,86,Kerin O’Keefe,"This wine starts with aromas of toasted oak, coffee, mature blackberries and hints of bell pepper. The palate offers overripe plum, black currants, toasted oak, chocolate, and espresso alongside astringent and drying wood tannins that give this an abrupt finish."
The Joy Fantastic 2018 Chardonnay (Sta. Rita Hills),The Joy Fantastic,White,,Chardonnay,"Sta. Rita Hills, Central Coast, California, US",13.5%,$50,94,Matt Kettmann,"This is a fascinating bottling that holds interest for repeat sips and is likely to age very well. Yuzu-peel, underripe apricot, honeysuckle and light toast aromas frame the nose. The palate zings with racy sharp laser-focused acidity, delivering flavors of bright grapefruit, crisp melon rind and tart apples."
Stift Göttweig 2016 Furth Grüner Veltliner (Kremstal),Stift Göttweig,White,Furth,Grüner Veltliner,"Kremstal, Austria",12.5%,$23,91,Anne Krebiehl MW,"Green apple, peardrop and Conference pear shine on the nose of this wine. The streamlined palate clebrates those fresh flavors, highlighting them with extra lemon spritz, a salty, yeasty fringe adding complexity. The finish is lip-smacking, moreish and dry."
Peirano 2012 The Heritage Collection Tempranillo (Lodi),Peirano,Red,The Heritage Collection,Tempranillo,"Lodi, Central Valley, California, US",13.8%,$14,86,Jim Gordon,"The smoky, peppery aromas and smoky, pomegranate flavors may be atypical, but the wine is well-balanced and enjoyable to drink."
Herdade das Servas 2013 Monte das Servas Escolha Red (Alentejano),Herdade das Servas,Red,Monte das Servas Escolha,Portuguese Red,"Alentejano, Portugal",14.5%,$15,87,Roger Voss,"This big, bold wine blends local grapes with Cabernet Sauvignon and Touriga Nacional. It has red fruits and rounded tannins that are well integrated with the fruitiness. Full in the mouth and with delicious acidity, it is ready to drink."
Podere Paganico 2010 Riserva  (Brunello di Montalcino),Podere Paganico,Red,Riserva,Sangiovese,"Brunello di Montalcino, Tuscany, Italy",14%,$64,91,Kerin O’Keefe,"Mature black-skinned fruit, new leather, Mediterranean herb and dark spice are some of the aromas you'll find on this big, bold red. The brawny monolithic palate doles out ripe plum, black cherry marinated in spirits and cake spice alongside chewy tannins and the warmth of evident alcohol. Drink 2018–2025."
Château Cambon la Pelousse 2016 Barrel Sample  (Haut-Médoc),Château Cambon la Pelousse,Red,Barrel Sample,Bordeaux-style Red Blend,"Haut-Médoc, Bordeaux, France",,,91,Roger Voss,"90–92. Barrel Sample. This is a delicious, juicy wine, with black fruit tones backed by firm tannins. The structure and the concentration don't take away from the exuberant fruits."
Rios de Chile 2011 Limited Edition Sauvignon Blanc (Casablanca Valley),Rios de Chile,White,Limited Edition,Sauvignon Blanc,"Casablanca Valley, Chile",13%,$17,87,Michael Schachner,"The nose on this wine is fresh but nothing unusual or exciting. In the mouth, it's racy, with acidity and flavors of green veggies, citrus fruits and pith. Things turn more pithy and mildly bitter on the finish, where tarragon and rosemary accents take over."
Concannon 2017 Reserve Sauvignon Blanc (Sonoma County),Concannon,White,Reserve,Sauvignon Blanc,"Sonoma County, Sonoma, California, US",13.9%,$28,90,Virginie Boone,"This is a successful, small-production white that's bright, textured and memorable in swathes of well-heeled grapefruit and Meyer lemon. A grassy undertone of pea shoots plays well against the crisp fruit."
Rodney Strong 1999 Reserve Pinot Noir (Russian River Valley),Rodney Strong,Red,Reserve,Pinot Noir,"Russian River Valley, Sonoma, California, US",,$30,90,,"Wears a toasty mantle of smoke, meat and burnt marshmallow. Yet we found the dark cherry and tart plum fruit core to be strong enough to weather its oak. The wine's polished rusticity has great appeal, with earthy, dusty tannins, pepper and cola accents. Drink now through 2007. Editors' Choice."
Hendry 2005 Pinot Gris (Napa Valley),Hendry,White,,,"Napa Valley, Napa, California, US",14.5%,$19,85,,"Entirely made in stainless steel, this is a fresh tasting, vibrant young wine. It has zingy acids, and forward flavors of citrus fruits, melons and white pepper. This dry wine is nice as an apéritif."
Villa Maria 1999 Private Bin Cabernet Sauvignon-Merlot (Hawke's Bay),Villa Maria,Red,Private Bin,"Cabernet Sauvignon-Merlot, Bordeaux-style Red Blend","Hawke's Bay, New Zealand",12.5%,$13,85,Michael Schachner,"Spice notes play heavily on the brambly, herbal nose.  This a full-bodied, chunky mix of 53% Cabernet, 24% Merlot, 13% Pinotage and 10% Syrah.  No grape type in particular sticks out on the palate, which is heavy with oregano and basil notes in addition to red-plum fruit.  Best for casual drinking; anything left will help out a red sauce."
Domaine Albin Jacumin 2018 La Bégude des Papes White (Châteauneuf-du-Pape),Domaine Albin Jacumin,White,La Bégude des Papes,Rhône-style White Blend,"Châteauneuf-du-Pape, Rhône Valley, France",13.5%,,91,Anna Lee C. Iijima,"Earthen notes of smoke and crushed minerals linger from nose to palate in this juicy, moderately full-bodied white. A blend of 60% Grenache Blanc, 30% Clairette and 10% Bourboulenc vinified and aged in 20% new French oak, it puts a spotlight on pristine tangerine and grapefruit flavors edged by a touch of bitter nut skin. Ready to drink now but should maintain through 2028."
Chanson Père et Fils 2009 Les Vergelesses Premier Cru  (Pernand-Vergelesses),Chanson Père et Fils,Red,Les Vergelesses Premier Cru,Pinot Noir,"Pernand-Vergelesses, Burgundy, France",,$50,92,Roger Voss,"This has ripe red fruits and soft, integrated tannins, with concentration and a voluptuous exterior. This will be ready to drink soon."
Domaine la Goujonne 2019 Gamali Rosé (Côtes de Provence),Domaine la Goujonne,Rose,Gamali,Rosé,"Côtes de Provence, Provence, France",13.5%,$20,90,Roger Voss,"This rich wine is smoothly textured, full of fruit balanced with acidity. Its blend that includes Mourvèdre gives the wine texture as well as concentration. This rosé ready to drink from late 2020."
Elvio Cogno 1999 Ravera  (Barolo),Elvio Cogno,Red,Ravera,Nebbiolo,"Barolo, Piedmont, Italy",14%,VivinoGary's Wine,91,,"In need of bottle aging, Cogno's '99 Ravera blends molasses with dates and figs to give the impression of a spiced fruitcake impregnated with tannins instead of rum. Give it until 2010, when it should begin to open up."
Poggio al Tesoro 2015 Solosole Vermentino (Toscana),Poggio al Tesoro,White,Solosole,"Vermentino, Italian White","Toscana, Tuscany, Italy",14%,$23,88,Kerin O’Keefe,"This opens with aromas of white and yellow wild flower and yellow stone fruit. The bright palate doles out juicy yellow peach, nectarine and a hint of Mediterranean herb alongside fresh acidity."
Roederer Estate NV Brut Rosé  (Anderson Valley),Roederer Estate,Sparkling,Brut Rosé,"Champagne Blend, Sparkling","Anderson Valley, Mendocino County, California, US",,VivinoGary's Wine,89,,"It's complex and inviting, with bread dough, rasberry and vanilla, and atouch of smoky honey.  The flavors are similar, with white peaches making an appearance.  Medium-weight with a slightly creamy mouthful, it closes with creamy-toast flavors on the long finish.  This sparkling wine will have wide appeal: It's big, open and enjoyable."
Pashey 2017 Ribbon Ridge Estate Extra Brut Blanc de Blancs Sparkling (Ribbon Ridge),Pashey,Sparkling,Ribbon Ridge Estate Extra Brut Blanc de Blancs,"Sparkling Blend, Sparkling","Ribbon Ridge, Willamette Valley, Oregon, US",12.7%,$65,93,Paul Gregutt,"The fourth vintage of this 100% Chardonnay, méthode Champenoise sparkler opens with a whiff of toast and fresh flavors of lemon pith, apple, white peach and pineapple. The clarity and rather suppressed power are apparent despite its being very recently disgorged. Tuck it away and drink after 2024."
Poggio Antico 2008  Brunello di Montalcino,Poggio Antico,Red,,"Sangiovese Grosso, Sangiovese","Brunello di Montalcino, Tuscany, Italy",,VivinoGary's Wine,90,,"Poggio Antico is one of the best estates in Montalcino but the 2008 vintage doesn't reach the impressive heights of 2006 or 2007 that showed much fuller and more generous results. This edition offers plum, wild berry and leather aromas with a lean mouthfeel and sharp acidity that will soften with a few more years of bottle aging."
Babcock 2018 Born Ready Peake Vineyard Grenache (Sta. Rita Hills),Babcock,Red,Born Ready Peake Vineyard,Grenache,"Sta. Rita Hills, Central Coast, California, US",14.5%,$60,91,Matt Kettmann,Dark boysenberry and toasty oak aromas lead into hints of caramel on the nose of this riper expression. Candied flavors of violet and dark-purple fruit are wrapped in rustic tannins on the palate.
Jeff HIll 2012 Chardonnay (Napa Valley),Jeff HIll,White,,Chardonnay,"Napa Valley, Napa, California, US",14.6%,$50,93,,"Utterly dry and crisp, the wine carries a flinty minerality and lime, peach and green-apple flavors. It was largely barrel-fermented, but the oak never feels heavy or tastes sweet. Instead, it provides a subtle perfume throughout. Don't drink this wine too cold, or you'll miss the nuances."
Stinson 2012 Rosé (Monticello),Stinson,Rose,,Rosé,"Monticello, Virginia, US",13%,$17,84,,"A rosé of 100% Mourvèdre, this bears mild flavors of red cherry, candied strawberry and tropical fruit, which are enlivened by fresh acidity. It's a simple rosé that would be an enjoyable accompaniment to a picnic lunch."
Cave de Tain 2017 Première Note Rosé de Syrah (Collines Rhôdaniennes),Cave de Tain,Rose,Première Note Rosé de,,"Collines Rhôdaniennes, Rhône Valley, France",12%,$16,86,Anna Lee C. Iijima,"While the nose of this light-bodied rosé is quite peachy and perfumed, the palate is demure, suggesting mild pear and underripe apricot. Dry and full bodied, it's balanced by fresh acidity and a salty, mineral finish. Drink now."
Summerland 2017 Chardonnay (Central Coast),Summerland,White,,Chardonnay,"Central Coast, Central Coast, California, US",13.5%,$15,87,Matt Kettmann,"Singed lemon and baked apple converge for a very perfumed aromatic entry to this bottling. The palate is very familiar with flavors of toast, lemon and apple, with an acidity that cuts through the sip."
Spanish Vines 2008 Sauvignon Blanc-Macabeo White (Vino de la Tierra de Castilla),Spanish Vines,White,Sauvignon Blanc-Macabeo,White Blend,"Vino de la Tierra de Castilla, Central Spain, Spain",12%,$10,83,Michael Schachner,"Same score as the prior year, and pretty much the same wine. It's dusty and slightly burnt in aromas and flavors, with banana, peach and pithy bitterness extending onto the finish. Mouthfeel is the best part; otherwise it struggles to make the cut."
Finca El Origen 2012 Reserva Chardonnay (Mendoza),Finca El Origen,White,Reserva,Chardonnay,"Mendoza, Mendoza Province, Argentina",13.5%,$11,85,Michael Schachner,"For a basic Chardonnay, this fits the bill. Citrus and peach aromas are standard and clean. The palate is tight and juicy, with no overt oak feel. Flavors of melon and pear have light spice and vanilla accents, while the finish is crisp."
Renwood 2000 Viognier (Shenandoah Valley (CA)),Renwood,White,,Viognier,"Shenandoah Valley (CA), Sierra Foothills, California, US",13.5%,$25,90,,"Enticing, with velvety texture but firmness, nonetheless, on the palate. A sleek and subtle blend of apricot, peach, spice, herb and citrus flavors, all couched elegantly with finesse."
Burnt Bridge 2013 Pont Brûlé Red (Walla Walla Valley (WA)),Burnt Bridge,Red,Pont Brûlé,Rhône-style Red Blend,"Walla Walla Valley (WA), Columbia Valley, Washington, US",15.5%,$35,88,Sean P. Sullivan,"Grenache (38%) takes the lead followed by Mourvèdre (34%) and Syrah, with the fruit coming from Seven Hills and Les Collines vineyards. Blueberry pie, herb and spice aromas are followed by extracted blue and black-fruit flavors that bring some warmth along with them."
Tenuta Argentiera 2009 Poggio ai Ginepri  (Bolgheri),Tenuta Argentiera,Red,Poggio ai Ginepri,"Red Blends, Red Blends","Bolgheri, Tuscany, Italy",,,89,,"Soft and rich, with loads of ripe fruit flavors, this Cabernet Sauvignon-Syrah--Merlot blend offers a crisp dash of freshness that keeps the palate clean. It's a balanced wine, with a sophisticated twist of spice and dark fruit on the close."
Lindemans 2002 Bin 77 Semillon-Chardonnay (South Eastern Australia),Lindemans,White,Bin 77,"Semillon-Chardonnay, White Blend","South Eastern Australia, Australia Other, Australia",13.5%,$8,82,,Neither supple nor complicated; its tropical yellow fruit and light-to-medium weight made it a candidate for a summer picnic or other such casual circumstance. But it has a faux-sugar note on the finish (think Nutrasweet) that made me like it less than I wanted to.
Castelvecchi 2014 Lodolaio Riserva  (Chianti Classico),Castelvecchi,Red,Lodolaio Riserva,Sangiovese,"Chianti Classico, Tuscany, Italy",13.5%,$32,88,Kerin O’Keefe,"This offers aromas reminiscent of cedar, black-skinned fruit and a subtle whiff of oak. The firm palate doles out dried black cherry, vanilla and a mocha note set against taut assertive tannins."
Bodegas Caro 2004 Amancaya Malbec-Cabernet Sauvignon (Mendoza),Bodegas Caro,Red,Amancaya,"Malbec-Cabernet Sauvignon, Bordeaux-style Red Blend","Mendoza, Mendoza Province, Argentina",14%,$18,91,Michael Schachner,"This has to rank as one of the world's best wines for the money. The depth is impeccable and the balance and pop are commendable. All hail Argentina, or at least Barons de Rothschild and Nicolas Catena for coming up with this affordable blend of Malbec and Cabernet that pulses with berry fruit, waves of chocolate and so much toasty persistence that it almost requires brakes. For under $20 this is faultless stuff. Imported by Pasternak Wine Imports."
Château Phélan-Ségur 2017 Barrel Sample  (Saint-Estèphe),Château Phélan-Ségur,Red,Barrel Sample,Bordeaux-style Red Blend,"Saint-Estèphe, Bordeaux, France",,,93,Roger Voss,"92–94. Barrel Sample. The oak is currently quite forward and powerful in this young wine, which needs time for the fruit to come through. But the fruit is there, with black currant acidity and freshness showing in the background. Let the wine soften and don't drink before 2024."
Wrath 2019 Ex Sauvignon Blanc (Monterey),Wrath,White,Ex,Sauvignon Blanc,"Monterey, Central Coast, California, US",13.2%,$19,91,Matt Kettmann,"There's something rugged and rough about this wine that makes it so compelling. Aromas of beach sand and drying kelp recall the seashore, yet there's Anaheim chili, too. The palate combines that seaweed with jalapeño, making for a visceral, slightly funky experience."
Château Valandraud 2017 Valandraud Blanc Barrel Sample  (Saint-Émilion),Château Valandraud,White,Valandraud Blanc Barrel Sample,"Bordeaux-style White Blend, White Blend","Saint-Émilion, Bordeaux, France",,,89,Roger Voss,"88–90. Barrel Sample. Crisp fruit with a strong herbal edge gives this small production wine a lively, citrus character. Ample acidity lingers through a vibrant finish layered in notes of mineral and zest."
Lynmar 2004 Pinot Noir (Russian River Valley),Lynmar,Red,,Pinot Noir,"Russian River Valley, Sonoma, California, US",14.4%,$36,89,,"Lynmar's basic Russian River is lighter than its more expensive designation bottlings, but it's right up there, which makes it a relative value. Shows the same dry, crisp varietal richness and finesse, with cherry, cola and oak flavors. Balanced, and entirely ready now."
Giuseppe Cortese 2017  Barbaresco,Giuseppe Cortese,Red,,Nebbiolo,"Barbaresco, Piedmont, Italy",14.5%,$40,91,Kerin O’Keefe,"Aromas evoking scorched earth, blue flowers, camphor and tobacco mingle together. The full-bodied palate features dried black cherry, blood orange, licorice and a hint of espresso alongside firm, fine-grained tannins. Drink 2021–2027."
Soquel Vineyards 2015 Partners' Reserve Nelson Vineyard Chardonnay (Santa Cruz Mountains),Soquel Vineyards,White,Partners' Reserve Nelson Vineyard,Chardonnay,"Santa Cruz Mountains, Central Coast, California, US",13.9%,$28,89,Matt Kettmann,"Dried apple and salted almond aromas show on the nose of this bottling from a winery started in 1987. There is a flinty character to the sip, alongside squeezed lime and baked apple, with a light smokiness noticeable throughout."
Montes 2000 Alpha Cabernet Sauvignon (Curicó Valley),Montes,Red,Alpha,Cabernet Sauvignon,"Curicó Valley, Chile",14%,$20,86,Michael Schachner,"Big and ripe, with cola, root beer and berry aromas along with rich oak. The palate is a high-wire act of bright red fruit combined with thick milk chocolate and malt. The tannins and acidity allow the wine to be aggressive, maybe too much so given that the fruit is somewhat tart and prickly."
Wines & Winemakers 2014 Andreza Touriga Nacional-Touriga Franca Red (Douro),Wines & Winemakers,Red,Andreza Touriga Nacional-Touriga Franca,Portuguese Red,"Douro, Portugal",13.5%,$18,88,Roger Voss,"Ripe and bold, this is a rich wine whose dense fruit is balanced by its equally dense tannins. It has spice, juicy black fruits and a structure that emphasizes minerality and oak aging. It's not quite ready, so drink from 2017."
Polvaro NV Extra Dry  (Prosecco),Polvaro,Sparkling,Extra Dry,"Glera, Italian White","Prosecco, Veneto, Italy",11%,,85,Kerin O’Keefe,Orchard-fruit and honeysuckle aromas lift out of the glass. The simple palate offers ripe yellow apple and a confectionery note alongside firm acidity.
Pearmund 2018 South River Vineyard Petit Manseng (Virginia),Pearmund,White,South River Vineyard,"Petit Manseng, Other White","Virginia, Virginia, US",13.5%,$29,87,Fiona Adams,"A deep golden orange in color, this wine has an aroma that delivers warm spiced orange and lemon peel with accents of honey and blossoms. The palate offers ripe orange flavor blended with marigold, hot honey and white tea. Orange and lemon pith tones emerge on the dry, tugging finish."
Ballast Stone Estate Wines 2004 Cabernet Sauvignon (South Eastern Australia),Ballast Stone Estate Wines,Red,,Cabernet Sauvignon,"South Eastern Australia, Australia Other, Australia",14%,$15,89,Joe Czerwinski,"A blend of estate-grown fruit from Currency Creek and McLaren Vale, the flagship label of the Ballast Stone line represents a solid value. Cassis fruit is showcased admirably by hints of eucalyptus and wood-derived accents of toasted coconut and vanilla, while the texture is surprisingly lush and the finish velvety."
W.T. Vintners 2014 Boushey Vineyard Mourvèdre (Yakima Valley),W.T. Vintners,Red,Boushey Vineyard,Mourvèdre,"Yakima Valley, Columbia Valley, Washington, US",13.6%,$49,91,Sean P. Sullivan,"The aromas pop, with notes of freshly ground white pepper, orange zest and raw meat. The savory flavors are silky and elegant in style, with the oak influence dialed way back. It shows a pleasing sense of purity and balance. Put it on the dinner table to see it shine."
Brick & Mortar 2016 Vin Rubis Pinot-Chardonnay (Napa Valley),Brick & Mortar,White,Vin Rubis,"Pinot-Chardonnay, White Blend","Napa Valley, Napa, California, US",12%,$28,88,Virginie Boone,"This light, ethereal wine combines 53% Pinot Noir with 47% Chardonnay, the color dark as a light-bodied red. A thick, dense mouthfeel and gritty texture complements the brightness of cherry and raspberry."
Hillinger 2010 Pinot Blanc (Leithaberg),Hillinger,White,,Pinot Blanc,"Leithaberg, Austria",12.5%,,87,Roger Voss,"There can be few Pinot Blancs that come in such a heavy bottle. Once the wine is poured, it's a fresh apple and cream wine, with attractive acidity and a soft aftertaste. Some toast shows through at the end."
Domaine Leflaive 2007  Macon-Verge,Domaine Leflaive,White,,Chardonnay,"Macon-Verge, Burgundy, France",,$36,88,Roger Voss,"Caramel wood aromas, with smooth fruit. The wine is rich, warm, with the pure white and yellow fruit flavors showing well. It is crisp, but also rich."
Château du Père Antoine 2018 Olivia  (Blaye Côtes de Bordeaux),Château du Père Antoine,Red,Olivia,Bordeaux-style Red Blend,"Blaye Côtes de Bordeaux, Bordeaux, France",14%,$38,86,Roger Voss,"A classic blend dominated by Merlot, this wine has, unfortunately, been swamped by wood aging. That gives a dry character to the wine, masking hints of black-currant flavors. Drink from 2022."
Joseph Phelps 1997 Le Mistral Red (California),Joseph Phelps,Red,Le Mistral,Rhône-style Red Blend,"California, California Other, California, US",,$25,91,Michael Schachner,"A blend of six Rhône grapes. It's lush and plush. A lot of sun-baked black fruit here and virtually no edge to speak of. In fact, it's almost too friendly. Aromas of graham crackers and a clear flavor of chocolate make for an interesting drink."
Williams Selyem 2009 Pinot Noir (Sonoma County),Williams Selyem,Red,,Pinot Noir,"Sonoma County, Sonoma, California, US",13.6%,$37,91,,"A gorgeous Pinot Noir for drinking over the next few years. It's dry and silky, with ripe raspberry, cherry and cola flavors finished with plenty of clove, cinnamon and white pepper spice. There's an earthy, mushroomy note that grounds it."
Domaine Charles Frey 2016 Harmonie Pinot Noir (Alsace),Domaine Charles Frey,Red,Harmonie,Pinot Noir,"Alsace, Alsace, France",12.5%,,89,Anne Krebiehl MW,"A lick of vanilla precedes red berries on the nose. On the palate, the berries are expressed as red currant and lovely tart cranberry. This is fresh and light, easy and totally fruit-driven. It would work well as a chilled red with its refreshing backbone and light body."
Abrigo Fratelli 2016 Ravera  (Barolo),Abrigo Fratelli,Red,Ravera,Nebbiolo,"Barolo, Piedmont, Italy",14.5%,$40,90,Kerin O’Keefe,"Aromas of violet, scorched earth and leather lead the way. The savory palate offers dried black cherry, clove and tobacco alongside firm, polished tannins. Drink 2023–2028."
AuburnJames 2009 Bella Vista Vineyard Block 2 Cabernet Sauvignon (Napa Valley),AuburnJames,Red,Bella Vista Vineyard Block 2,Cabernet Sauvignon,"Napa Valley, Napa, California, US",14.7%,$75,87,Virginie Boone,"Hugely oaky, this wine also features a dustiness on the nose and palate, alongside woody tannin. Black olive and dried herb give it an herbaceous quality that belies its full-bodied richness and ripe core."
Ca' Del Grevino 2014 Estate Vineyards White Riesling (Santa Maria Valley),Ca' Del Grevino,White,Estate Vineyards White,Riesling,"Santa Maria Valley, Central Coast, California, US",14.13%,$60,91,Matt Kettmann,"There's a classic touch of petrol on the nose of this bottling, as well as richer notes of candied lemon, marmalade, preserved lime and dried citrus. On the palate, it's oily and viscous, but honey, lemon syrup and tangerine zest flavors lighten it considerably. A great all-around experience."
Livio Felluga 2001 Pinot Grigio (Friuli Venezia Giulia),Livio Felluga,White,,Pinot Grigio,"Friuli Venezia Giulia, Northeastern Italy, Italy",13%,$24,90,Joe Czerwinski,"There's a slight coppery tinge to this wine's color, which sets it apart from the vast majority of other Grigios on the market. And maybe it's just the suggestion of the hue, but it seems to taste ""pink"" as well, showcasing ripe berries and appples backed by tangy acids and great length. Classy stuff."
Forget-Brimont 2010 Vintage Brut Premier Cru  (Champagne),Forget-Brimont,Sparkling,Vintage Brut Premier Cru,"Champagne Blend, Sparkling","Champagne, Champagne, France",12%,$95,93,Roger Voss,"Bottled after 10 years on its lees, this Champagne has great richness, with mature flavors mingling with the acidity and kiwi fruit flavors. The wine is in perfect condition, ready to drink now."
Euclid Wines 2010 Syrah (Sierra Foothills),Euclid Wines,Red,,,"Sierra Foothills, Sierra Foothills, California, US",15.1%,$40,83,Virginie Boone,"An intensely big-shouldered Syrah from high-elevation vineyards in the Foothills, with a swirl of black tea and very ripe black cherry and chocolate."
Stoneleigh 2003 Rapaura Series Pinot Noir (Marlborough),Stoneleigh,Red,Rapaura Series,Pinot Noir,"Marlborough, New Zealand",,$19,87,Joe Czerwinski,"A really pretty and elegant rendition of Pinot Noir, with supple tannins and soft dustings of herbs and spice atop ripe cherry fruit. Imported by Allied Domecq Wines USA."
Ebner-Ebenauer 2007 Blanc de Blancs Chardonnay (Österreichischer Sekt),Ebner-Ebenauer,Sparkling,Blanc de Blancs,Chardonnay,"Österreichischer Sekt, Austria",13%,$49,93,Anne Krebiehl MW,"Lovely red apple and biscuit notes emanate here to create the perfect balance between fruit and yeasty autolysis. Acidity streamlines the generous, full-fruited body while soft mousse amplifies all the rich, layered apple flavors. The midpalate texture and finish are impressive. This is the full, delicious package and will make a classy apéritif with enough character to accompany delicate, fine cuisine. The length speaks for itself: pure class. Zero dosage."
Barton & Guestier 2018 Bistro Rue La Fayette Pinot Noir (Vin de France),Barton & Guestier,Red,Bistro Rue La Fayette,Pinot Noir,"Vin de France, France Other, France",12%,$15,86,Fiona Adams,"Blackberry and plum aromas are balanced by anise and black pepper on the nose. The palate is built by grippy tannins, housing flavors of juicy black cherry and pomegranate blended with bay leaf and oak tones. White pepper and plum mark the finish."
Barberani 2017 Foresco Red (Umbria),Barberani,Red,Foresco,"Red Blends, Red Blends","Umbria, Central Italy, Italy",13.5%,$18,89,Kerin O’Keefe,"Made with organically farmed 80% Sangiovese and 20% Cabernet and Merlot, this has subtle aromas of wild berries and ground brown spices. It's juicy, savory and easy drinking, doling out ripe black cherry, cassis and clove set against polished tannins. Enjoy through 2020."
Château Maison Neuve 2018 Clotilde  (Blaye Côtes de Bordeaux),Château Maison Neuve,Red,Clotilde,"Merlot-Malbec, Bordeaux-style Red Blend","Blaye Côtes de Bordeaux, Bordeaux, France",14%,$16,88,Roger Voss,"A blend of mainly Merlot with a touch of Malbec, this is bold and full bodied while also balanced. The structure of the cherry and blackberry-flavored wine gives it aging potential. It will be ready from 2022."
Serge Mathieu NV Tête de Cuvée Select Brut  (Champagne),Serge Mathieu,Sparkling,Tête de Cuvée Select Brut,"Champagne Blend, Sparkling","Champagne, Champagne, France",,$35,87,Roger Voss,"A selection from Serge Mathieu's best parcels, this wine has full, ripe fruit, layers of green grapefruit flavors and white currants. It has good depth, finishing with fine toast and acidity at the end, just missing a higher mark because of its unbalanced dosage."
Domaine Vico 2015 Les Parcellaires A Mina Vermentino (Corse),Domaine Vico,White,Les Parcellaires A Mina,"Vermentino, Italian White","Corse, France",14%,$70,91,Roger Voss,"A limited-production wine from a small parcel of old vines, this is ripe and beautifully rich. A touch of oxidation gives an extra dimension of ripeness and brings out a beautiful texture. Drink from 2019."
Domaine Terlato & Chapoutier 2006 lieu dit Malakoff Shiraz (Pyrenees),Domaine Terlato & Chapoutier,Red,lieu dit Malakoff,,"Pyrenees, Victoria, Australia",14.5%,$40,90,Joe Czerwinski,"Seems more elegant than the brawny 2005, with pretty aromas of violets and cracked pepper that glide easily into flavors of mixed berries and vanilla. It's lighter in weight than many Australian Shiraz, fresher and higher in acidity, which gives it a bit of Old World sensibility. Drink now–2016."
Muga 2006 Rosé (Rioja),Muga,Rose,,Rosé,"Rioja, Northern Spain, Spain",13.5%,$11,88,Michael Schachner,"Despite some tempered oak aging, this one will whet your whistle and then some. Talk about cutting acidity and being fit and trim; it's like a hard-bodied personal trainer. It doesn't have an ounce of fat on it, so the aromas are tight and minerally and the flavors lean and crisp. Will plow through grilled vegetables and chicken or tuna salad with ease. Made primarily from Garnacha, with some Viura and Tempranillo."
Hugel 2005 Jubilee Hugel Riesling (Alsace),Hugel,White,Jubilee Hugel,Riesling,"Alsace, Alsace, France",12%,$60,87,,"Starts off with fairly soft aromas of honeydew, petrol and steely minerality. More fruit is showcased on the palate with green apple, lime and pineapple core. Medium weight and appropriately balanced, the finish is fresh and crisp."
Fenech 2017 Passito  (Malvasia delle Lipari),Fenech,Dessert,Passito,"Malvasia, Italian White","Malvasia delle Lipari, Sicily & Sardinia, Italy",13%,,89,Kerin O’Keefe,"This has aromas evoking mature orange peel, dried fruit and butterscotch. The palate shows a combination of sweet and bitter: offering chestnut honey, candied orange drop and maple syrup before a bitter walnut close."
Château Bouscaut 2006 Barrel sample  (Pessac-Léognan),Château Bouscaut,Red,Barrel sample,Bordeaux-style Red Blend,"Pessac-Léognan, Bordeaux, France",,,88,Roger Voss,"87—89 Barrel sample. Soft fruit, followed by high acids, and a layer of dry tannins. This is a tense, dark wine, very dry, dominated by blackcurrant and bitter cherry flavors."
